customer_id,article_id,hybrid_rank,svd_rank,rank_shift,is_ground_truth,normalized_svd_score,normalized_agentic_score,diversity_bonus,hybrid_score,product_type_name,product_group_name,graphical_appearance_name,colour_group_name,garment_group_name,department_name,section_name,index_name,prod_name,detail_desc,matched_preference_fields_json,explanation_text,grounded_claim_count,ungrounded_claim_count
008333f2dd18bbe5576ad4fb16297bffaf2d9e2b2d54838daa131c95cd53c9a6,0519588003,1,1.0,0.0,False,1.0,0.546664,0.0,0.836666,Cardigan,Garment Upper body,Melange,Light Pink,Knitwear,Tops Knitwear,Divided Collection,Divided,,"Cardigan in a soft knit with dropped shoulders, long sleeves, front pockets and no buttons.","[{""field"": ""product_group_name"", ""item_value"": ""Garment Upper body"", ""matched_user_history_count"": 38}, {""field"": ""product_type_name"", ""item_value"": ""Cardigan"", ""matched_user_history_count"": 5}, {""field"": ""colour_group_name"", ""item_value"": ""Light Pink"", ""matched_user_history_count"": 3}, {""field"": ""graphical_appearance_name"", ""item_value"": ""Melange"", ""matched_user_history_count"": 8}, {""field"": ""garment_group_name"", ""item_value"": ""Knitwear"", ""matched_user_history_count"": 12}]","This item was recommended by the Hybrid reranker. The item metadata shows product group 'Garment Upper body' and colour 'Light Pink'. The item product_group_name value 'Garment Upper body' appears 38 times in the user's training history. The item product_type_name value 'Cardigan' appears 5 times in the user's training history. The item colour_group_name value 'Light Pink' appears 3 times in the user's training history. The item graphical_appearance_name value 'Melange' appears 8 times in the user's training history. The item garment_group_name value 'Knitwear' appears 12 times in the user's training history. Saved Hybrid score components are available with SVD score 1.000, agentic score 0.547, diversity bonus 0.000, and hybrid score 0.837. The item stayed at the same position in saved SVD and Hybrid Top-10 outputs at rank 1.",9,0
008333f2dd18bbe5576ad4fb16297bffaf2d9e2b2d54838daa131c95cd53c9a6,0717490012,2,2.0,0.0,False,0.979761,0.560978,0.666667,0.859411,T-shirt,Garment Upper body,Embroidery,Greenish Khaki,Jersey Basic,Basic 1,Divided Basics,Divided,,T-shirt in soft jersey.,"[{""field"": ""product_group_name"", ""item_value"": ""Garment Upper body"", ""matched_user_history_count"": 38}, {""field"": ""product_type_name"", ""item_value"": ""T-shirt"", ""matched_user_history_count"": 15}, {""field"": ""colour_group_name"", ""item_value"": ""Greenish Khaki"", ""matched_user_history_count"": 2}, {""field"": ""graphical_appearance_name"", ""item_value"": ""Embroidery"", ""matched_user_history_count"": 1}, {""field"": ""garment_group_name"", ""item_value"": ""Jersey Basic"", ""matched_user_history_count"": 13}]","This item was recommended by the Hybrid reranker. The item metadata shows product group 'Garment Upper body' and colour 'Greenish Khaki'. The item product_group_name value 'Garment Upper body' appears 38 times in the user's training history. The item product_type_name value 'T-shirt' appears 15 times in the user's training history. The item colour_group_name value 'Greenish Khaki' appears 2 times in the user's training history. The item graphical_appearance_name value 'Embroidery' appears 1 times in the user's training history. The item garment_group_name value 'Jersey Basic' appears 13 times in the user's training history. Saved Hybrid score components are available with SVD score 0.980, agentic score 0.561, diversity bonus 0.667, and hybrid score 0.859. The item stayed at the same position in saved SVD and Hybrid Top-10 outputs at rank 2.",9,0
008333f2dd18bbe5576ad4fb16297bffaf2d9e2b2d54838daa131c95cd53c9a6,0867948001,3,3.0,0.0,True,0.631719,0.97385,0.666667,0.718999,Sweater,Garment Upper body,Solid,Black,"Under-, Nightwear",Loungewear,"Womens Nightwear, Socks & Tigh",Ladieswear,,"Round-necked jumper in a soft, fine-knit viscose blend with long sleeves, short slits in the sides and ribbing around the neckline, cuffs and hem. Slightly longer at the back.","[{""field"": ""product_group_name"", ""item_value"": ""Garment Upper body"", ""matched_user_history_count"": 38}, {""field"": ""product_type_name"", ""item_value"": ""Sweater"", ""matched_user_history_count"": 10}, {""field"": ""colour_group_name"", ""item_value"": ""Black"", ""matched_user_history_count"": 17}, {""field"": ""graphical_appearance_name"", ""item_value"": ""Solid"", ""matched_user_history_count"": 41}, {""field"": ""garment_group_name"", ""item_value"": ""Under-, Nightwear"", ""matched_user_history_count"": 6}]","This item was recommended by the Hybrid reranker. The item metadata shows product group 'Garment Upper body' and colour 'Black'. The item product_group_name value 'Garment Upper body' appears 38 times in the user's training history. The item product_type_name value 'Sweater' appears 10 times in the user's training history. The item colour_group_name value 'Black' appears 17 times in the user's training history. The item graphical_appearance_name value 'Solid' appears 41 times in the user's training history. The item garment_group_name value 'Under-, Nightwear' appears 6 times in the user's training history. Saved Hybrid score components are available with SVD score 0.632, agentic score 0.974, diversity bonus 0.667, and hybrid score 0.719. The item stayed at the same position in saved SVD and Hybrid Top-10 outputs at rank 3.",9,0
008333f2dd18bbe5576ad4fb16297bffaf2d9e2b2d54838daa131c95cd53c9a6,0576653005,4,5.0,1.0,False,0.598538,0.711452,0.333333,0.613506,Sweater,Garment Upper body,Solid,Light Blue,Knitwear,Knitwear,Womens Casual,Ladieswear,,"Short jumper in a loose knit containing some mohair with dropped shoulders, long sleeves and ribbing around the neckline, cuffs and hem.","[{""field"": ""product_group_name"", ""item_value"": ""Garment Upper body"", ""matched_user_history_count"": 38}, {""field"": ""product_type_name"", ""item_value"": ""Sweater"", ""matched_user_history_count"": 10}, {""field"": ""colour_group_name"", ""item_value"": ""Light Blue"", ""matched_user_history_count"": 5}, {""field"": ""graphical_appearance_name"", ""item_value"": ""Solid"", ""matched_user_history_count"": 41}, {""field"": ""garment_group_name"", ""item_value"": ""Knitwear"", ""matched_user_history_count"": 12}]","This item was recommended by the Hybrid reranker. The item metadata shows product group 'Garment Upper body' and colour 'Light Blue'. The item product_group_name value 'Garment Upper body' appears 38 times in the user's training history. The item product_type_name value 'Sweater' appears 10 times in the user's training history. The item colour_group_name value 'Light Blue' appears 5 times in the user's training history. The item graphical_appearance_name value 'Solid' appears 41 times in the user's training history. The item garment_group_name value 'Knitwear' appears 12 times in the user's training history. Saved Hybrid score components are available with SVD score 0.599, agentic score 0.711, diversity bonus 0.333, and hybrid score 0.614. The Hybrid rank is 4, compared with SVD rank 5, so the reranking layer promoted this item by 1 positions.",9,0
008333f2dd18bbe5576ad4fb16297bffaf2d9e2b2d54838daa131c95cd53c9a6,0680263002,5,6.0,1.0,False,0.518179,0.540577,1.0,0.547869,Leggings/Tights,Garment Lower body,Colour blocking,Dark Blue,Jersey Fancy,Ladies Sport Bottoms,Ladies H&M Sport,Sport,,Yoga tights in fast-drying functional fabric with a wide waistband to hold in and shape the waist. Key pocket in the waistband.,"[{""field"": ""product_group_name"", ""item_value"": ""Garment Lower body"", ""matched_user_history_count"": 27}, {""field"": ""product_type_name"", ""item_value"": ""Leggings/Tights"", ""matched_user_history_count"": 1}, {""field"": ""colour_group_name"", ""item_value"": ""Dark Blue"", ""matched_user_history_count"": 14}, {""field"": ""garment_group_name"", ""item_value"": ""Jersey Fancy"", ""matched_user_history_count"": 2}]","This item was recommended by the Hybrid reranker. The item metadata shows product group 'Garment Lower body' and colour 'Dark Blue'. The item product_group_name value 'Garment Lower body' appears 27 times in the user's training history. The item product_type_name value 'Leggings/Tights' appears 1 times in the user's training history. The item colour_group_name value 'Dark Blue' appears 14 times in the user's training history. The item garment_group_name value 'Jersey Fancy' appears 2 times in the user's training history. Saved Hybrid score components are available with SVD score 0.518, agentic score 0.541, diversity bonus 1.000, and hybrid score 0.548. The Hybrid rank is 5, compared with SVD rank 6, so the reranking layer promoted this item by 1 positions.",8,0
008333f2dd18bbe5576ad4fb16297bffaf2d9e2b2d54838daa131c95cd53c9a6,0865240001,6,4.0,-2.0,False,0.621475,0.264878,0.666667,0.534586,Other accessories,Accessories,Solid,Gold,Accessories,Jewellery,Womens Small accessories,Ladies Accessories,,"Six ear cuffs in various designs. Two with pearly plastic beads, two in metal decorated with plastic beads and two in metal decorated with sparkly glass stones. Can be worn on non-pierced ears. Size 1.3 cm.","[{""field"": ""product_group_name"", ""item_value"": ""Accessories"", ""matched_user_history_count"": 2}, {""field"": ""graphical_appearance_name"", ""item_value"": ""Solid"", ""matched_user_history_count"": 41}, {""field"": ""garment_group_name"", ""item_value"": ""Accessories"", ""matched_user_history_count"": 2}]","This item was recommended by the Hybrid reranker. The item metadata shows product group 'Accessories' and colour 'Gold'. The item product_group_name value 'Accessories' appears 2 times in the user's training history. The item graphical_appearance_name value 'Solid' appears 41 times in the user's training history. The item garment_group_name value 'Accessories' appears 2 times in the user's training history. Saved Hybrid score components are available with SVD score 0.621, agentic score 0.265, diversity bonus 0.667, and hybrid score 0.535. The Hybrid rank is 6, compared with SVD rank 4, so the reranking layer demoted this item by 2 positions.",7,0
008333f2dd18bbe5576ad4fb16297bffaf2d9e2b2d54838daa131c95cd53c9a6,0570002074,7,10.0,3.0,False,0.413798,0.776262,0.666667,0.517058,T-shirt,Garment Upper body,Stripe,Light Grey,Jersey Basic,Light Basic Jersey,Men Underwear,Menswear,,Round-necked T-shirt in soft jersey.,"[{""field"": ""product_group_name"", ""item_value"": ""Garment Upper body"", ""matched_user_history_count"": 38}, {""field"": ""product_type_name"", ""item_value"": ""T-shirt"", ""matched_user_history_count"": 15}, {""field"": ""colour_group_name"", ""item_value"": ""Light Grey"", ""matched_user_history_count"": 2}, {""field"": ""graphical_appearance_name"", ""item_value"": ""Stripe"", ""matched_user_history_count"": 8}, {""field"": ""garment_group_name"", ""item_value"": ""Jersey Basic"", ""matched_user_history_count"": 13}]","This item was recommended by the Hybrid reranker. The item metadata shows product group 'Garment Upper body' and colour 'Light Grey'. The item product_group_name value 'Garment Upper body' appears 38 times in the user's training history. The item product_type_name value 'T-shirt' appears 15 times in the user's training history. The item colour_group_name value 'Light Grey' appears 2 times in the user's training history. The item graphical_appearance_name value 'Stripe' appears 8 times in the user's training history. The item garment_group_name value 'Jersey Basic' appears 13 times in the user's training history. Saved Hybrid score components are available with SVD score 0.414, agentic score 0.776, diversity bonus 0.667, and hybrid score 0.517. The Hybrid rank is 7, compared with SVD rank 10, so the reranking layer promoted this item by 3 positions.",9,0
008333f2dd18bbe5576ad4fb16297bffaf2d9e2b2d54838daa131c95cd53c9a6,0591334010,8,9.0,1.0,False,0.422489,0.817065,0.0,0.500008,Sweater,Garment Upper body,Stripe,Dark Blue,Knitwear,Knitwear Basic,Womens Everyday Basics,Ladieswear,,"Slightly shorter jumper in a soft, fine knit with long sleeves and ribbing around the neckline, cuffs and hem.","[{""field"": ""product_group_name"", ""item_value"": ""Garment Upper body"", ""matched_user_history_count"": 38}, {""field"": ""product_type_name"", ""item_value"": ""Sweater"", ""matched_user_history_count"": 10}, {""field"": ""colour_group_name"", ""item_value"": ""Dark Blue"", ""matched_user_history_count"": 14}, {""field"": ""graphical_appearance_name"", ""item_value"": ""Stripe"", ""matched_user_history_count"": 8}, {""field"": ""garment_group_name"", ""item_value"": ""Knitwear"", ""matched_user_history_count"": 12}]","This item was recommended by the Hybrid reranker. The item metadata shows product group 'Garment Upper body' and colour 'Dark Blue'. The item product_group_name value 'Garment Upper body' appears 38 times in the user's training history. The item product_type_name value 'Sweater' appears 10 times in the user's training history. The item colour_group_name value 'Dark Blue' appears 14 times in the user's training history. The item graphical_appearance_name value 'Stripe' appears 8 times in the user's training history. The item garment_group_name value 'Knitwear' appears 12 times in the user's training history. Saved Hybrid score components are available with SVD score 0.422, agentic score 0.817, diversity bonus 0.000, and hybrid score 0.500. The Hybrid rank is 8, compared with SVD rank 9, so the reranking layer promoted this item by 1 positions.",9,0
008333f2dd18bbe5576ad4fb16297bffaf2d9e2b2d54838daa131c95cd53c9a6,0398829001,9,8.0,-1.0,False,0.426026,0.605951,0.0,0.449706,Shorts,Garment Lower body,Solid,Black,Jersey Basic,Basic 1,Divided Basics,Divided,,"Shorts in airy jersey with an elasticated waist, side pockets and wide legs.","[{""field"": ""product_group_name"", ""item_value"": ""Garment Lower body"", ""matched_user_history_count"": 27}, {""field"": ""colour_group_name"", ""item_value"": ""Black"", ""matched_user_history_count"": 17}, {""field"": ""graphical_appearance_name"", ""item_value"": ""Solid"", ""matched_user_history_count"": 41}, {""field"": ""garment_group_name"", ""item_value"": ""Jersey Basic"", ""matched_user_history_count"": 13}]","This item was recommended by the Hybrid reranker. The item metadata shows product group 'Garment Lower body' and colour 'Black'. The item product_group_name value 'Garment Lower body' appears 27 times in the user's training history. The item colour_group_name value 'Black' appears 17 times in the user's training history. The item graphical_appearance_name value 'Solid' appears 41 times in the user's training history. The item garment_group_name value 'Jersey Basic' appears 13 times in the user's training history. Saved Hybrid score components are available with SVD score 0.426, agentic score 0.606, diversity bonus 0.000, and hybrid score 0.450. The Hybrid rank is 9, compared with SVD rank 8, so the reranking layer demoted this item by 1 positions.",8,0
008333f2dd18bbe5576ad4fb16297bffaf2d9e2b2d54838daa131c95cd53c9a6,0606395006,10,,,False,0.271479,1.0,0.0,0.440035,Trousers,Garment Lower body,Solid,Black,Trousers,Trouser,Contemporary Casual,Menswear,,"Cargo joggers in stretch cotton twill with an elasticated drawstring waist, side pockets and flap back and leg pockets with press-studs. Fake fly, shaping seams at the knees and ribbed hems.","[{""field"": ""product_group_name"", ""item_value"": ""Garment Lower body"", ""matched_user_history_count"": 27}, {""field"": ""product_type_name"", ""item_value"": ""Trousers"", ""matched_user_history_count"": 26}, {""field"": ""colour_group_name"", ""item_value"": ""Black"", ""matched_user_history_count"": 17}, {""field"": ""graphical_appearance_name"", ""item_value"": ""Solid"", ""matched_user_history_count"": 41}, {""field"": ""garment_group_name"", ""item_value"": ""Trousers"", ""matched_user_history_count"": 25}]","This item was recommended by the Hybrid reranker. The item metadata shows product group 'Garment Lower body' and colour 'Black'. The item product_group_name value 'Garment Lower body' appears 27 times in the user's training history. The item product_type_name value 'Trousers' appears 26 times in the user's training history. The item colour_group_name value 'Black' appears 17 times in the user's training history. The item graphical_appearance_name value 'Solid' appears 41 times in the user's training history. The item garment_group_name value 'Trousers' appears 25 times in the user's training history. Saved Hybrid score components are available with SVD score 0.271, agentic score 1.000, diversity bonus 0.000, and hybrid score 0.440.",8,0
